Experiment Name:,Exp_20201126_samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tube Name:,Sample ID:,All Events ,Picochlorum Events,P2 Events,All Events  % Total,Picochlorum % Total,P2 % Total,All Events  % Parent,Picochlorum % Parent,P2 % Parent,All Events  Events/μL(V),Picochlorum Events/μL(V),P2 Events/μL(V),All Events  Mean FSC-A,Picochlorum Mean FSC-A,P2 Mean FSC-A,All Events  GeoMean FSC-A,Picochlorum GeoMean FSC-A,P2 GeoMean FSC-A,All Events  Median FSC-A,Picochlorum Median FSC-A,P2 Median FSC-A,All Events  rCV FSC-A,Picochlorum rCV FSC-A,P2 rCV FSC-A,All Events  rSD FSC-A,Picochlorum rSD FSC-A,P2 rSD FSC-A,All Events  CV FSC-A,Picochlorum CV FSC-A,P2 CV FSC-A,All Events  SD FSC-A,Picochlorum SD FSC-A,P2 SD FSC-A,All Events  Mean SSC-A,Picochlorum Mean SSC-A,P2 Mean SSC-A,All Events  GeoMean SSC-A,Picochlorum GeoMean SSC-A,P2 GeoMean SSC-A,All Events  Median SSC-A,Picochlorum Median SSC-A,P2 Median SSC-A,All Events  rCV SSC-A,Picochlorum rCV SSC-A,P2 rCV SSC-A,All Events  rSD SSC-A,Picochlorum rSD SSC-A,P2 rSD SSC-A,All Events  CV SSC-A,Picochlorum CV SSC-A,P2 CV SSC-A,All Events  SD SSC-A,Picochlorum SD SSC-A,P2 SD SSC-A,All Events  Mean PE-A,Picochlorum Mean PE-A,P2 Mean PE-A,All Events  GeoMean PE-A,Picochlorum GeoMean PE-A,P2 GeoMean PE-A,All Events  Median PE-A,Picochlorum Median PE-A,P2 Median PE-A,All Events  rCV PE-A,Picochlorum rCV PE-A,P2 rCV PE-A,All Events  rSD PE-A,Picochlorum rSD PE-A,P2 rSD PE-A,All Events  CV PE-A,Picochlorum CV PE-A,P2 CV PE-A,All Events  SD PE-A,Picochlorum SD PE-A,P2 SD PE-A,All Events  Mean PC5.5-A,Picochlorum Mean PC5.5-A,P2 Mean PC5.5-A,All Events  GeoMean PC5.5-A,Picochlorum GeoMean PC5.5-A,P2 GeoMean PC5.5-A,All Events  Median PC5.5-A,Picochlorum Median PC5.5-A,P2 Median PC5.5-A,All Events  rCV PC5.5-A,Picochlorum rCV PC5.5-A,P2 rCV PC5.5-A,All Events  rSD PC5.5-A,Picochlorum rSD PC5.5-A,P2 rSD PC5.5-A,All Events  CV PC5.5-A,Picochlorum CV PC5.5-A,P2 CV PC5.5-A,All Events  SD PC5.5-A,Picochlorum SD PC5.5-A,P2 SD PC5.5-A,All Events  Mean PC5.5-Width,Picochlorum Mean PC5.5-Width,P2 Mean PC5.5-Width,All Events  GeoMean PC5.5-Width,Picochlorum GeoMean PC5.5-Width,P2 GeoMean PC5.5-Width,All Events  Median PC5.5-Width,Picochlorum Median PC5.5-Width,P2 Median PC5.5-Width,All Events  rCV PC5.5-Width,Picochlorum rCV PC5.5-Width,P2 rCV PC5.5-Width,All Events  rSD PC5.5-Width,Picochlorum rSD PC5.5-Width,P2 rSD PC5.5-Width,All Events  CV PC5.5-Width,Picochlorum CV PC5.5-Width,P2 CV PC5.5-Width,All Events  SD PC5.5-Width,Picochlorum SD PC5.5-Width,P2 SD PC5.5-Width
A0,,4015870,1326,14667,100.00%,0.03%,0.37%,100.00%,0.03%,0.37%,44620.51,14.73,162.97,1.7,1169.6,426.1,-0.4,1112,268.6,-1.1,1146.9,290.3,11065.59%,29.91%,90.19%,121.7,343,261.8,9294.23%,31.82%,115.99%,155,372.1,494.3,74.4,3742.1,17717.2,-2,3485.2,12791.4,-8.2,3550,11550,3310.54%,31.97%,73.61%,271.5,1135,8502,2557.89%,40.67%,103.69%,1903.2,1522,18370.7,2.7,117.9,8.2,1.8,84.7,5.7,2.7,118.7,7.4,7561.26%,224.89%,2788.89%,204.2,266.9,206.4,7863.98%,234.77%,2601.63%,211.7,276.9,213.9,34.7,19110.1,45.7,20.6,18541.3,23.8,28.7,18268.3,29.7,869.41%,24.21%,849.62%,249.5,4422.2,252.3,1268.72%,25.19%,1375.15%,440.3,4814.2,628.1,20.2,1080.7,23.4,14.5,1079.9,16.9,20.4,1081.1,21.7,888.83%,3.51%,842.62%,181.3,38,182.6,934.80%,3.69%,818.74%,189.1,39.9,191.8
A0 FF,,4021146,1471,16183,100.00%,0.04%,0.40%,100.00%,0.04%,0.40%,44679.11,16.34,179.81,1.3,1161.9,397.7,-0.2,1106,249.2,-0.6,1136.4,273.5,20188.07%,31.00%,92.21%,121.1,352.3,252.2,10867.33%,30.65%,116.41%,137.4,356.1,462.9,77.6,3788.7,17807.6,-1.4,3525.6,12793.4,-7.6,3581.3,11557.1,3554.34%,32.73%,73.55%,270.1,1172.1,8500.6,10508.38%,41.41%,103.38%,8158.6,1568.9,18409.4,2.6,143,11.8,1.7,103.3,4.9,2.5,138.3,5.2,8142.44%,189.85%,3908.93%,203.6,262.6,203.3,8212.58%,190.85%,5188.42%,210.6,272.9,613.3,35.3,19234.9,48.6,20.4,18668.1,22.8,28.4,18404.6,31,877.03%,23.80%,820.69%,249.1,4379.7,254.4,1300.25%,25.53%,1562.66%,459.1,4910.3,760.2,20.1,1068.3,22.5,14.4,1067.6,16.1,20.2,1069.8,21.9,896.63%,3.53%,837.45%,180.9,37.7,183.2,936.39%,3.70%,847.35%,188.6,39.5,190.6
B0,,4028504,1400,16418,100.00%,0.03%,0.41%,100.00%,0.03%,0.41%,44761.01,15.56,182.42,1.7,1175.7,422.7,-0.3,1120.9,266.5,-0.9,1138.9,289.1,13491.66%,29.58%,91.18%,121.4,336.9,263.6,12637.27%,30.76%,112.72%,219.7,361.6,476.4,82,3785.2,18184.6,-1.4,3519,13097.2,-7.5,3556.9,11785,3609.64%,34.23%,73.71%,270.7,1217.4,8687.3,3061.18%,41.69%,101.59%,2511,1578,18474.5,2.6,106.5,25.4,1.6,74.8,5.2,2.3,97.3,7.3,8869.82%,279.84%,2768.20%,204,272.3,202.1,8866.32%,254.91%,5283.15%,231.2,271.4,1341,35.2,19077,64.8,20.6,18517.7,22.2,28.8,18476.8,29.6,867.42%,23.82%,847.99%,249.8,4401.4,251,1297.90%,25.60%,2300.68%,456.5,4883.5,1490.7,20.3,1076.5,21.5,14.5,1075.7,15.4,20.5,1077.3,21.1,886.21%,3.48%,863.32%,181.6,37.5,182.1,932.88%,3.67%,889.82%,189.1,39.5,191.6
B0 FF,,4040676,1361,15523,100.00%,0.03%,0.38%,100.00%,0.03%,0.38%,44896.35,15.12,172.48,1.4,1177.4,390.6,-0.3,1119.7,248.5,-0.8,1160.2,274.3,15103.99%,31.18%,90.26%,120.8,361.8,247.6,20870.01%,30.71%,111.87%,291.8,361.5,436.9,69.2,3813.7,17337.3,-0.8,3573.1,12616,-6.1,3599.7,11281.8,4418.63%,33.12%,72.35%,269.5,1192.2,8162.9,2390.61%,37.50%,100.27%,1653.5,1430.2,17384.7,2.6,136.4,6.7,1.7,100.4,5.1,2.4,134.1,8,8481.71%,192.37%,2542.66%,203.6,258,203.4,8066.65%,190.54%,3134.25%,208.4,260,210.1,34.7,19317.6,53.6,20.4,18741.7,23.8,28.4,18684.5,30.5,877.03%,23.77%,827.34%,249.1,4440.8,252.3,1297.99%,25.47%,1306.32%,450.6,4919.4,700.3,20.1,1072,23.6,14.4,1071.3,16.4,20.2,1072.5,21.7,895.92%,3.60%,838.68%,180.9,38.6,181.9,939.73%,3.70%,818.53%,188.5,39.6,192.9
C0,,4091155,1453,15867,100.00%,0.04%,0.39%,100.00%,0.04%,0.39%,45457.15,16.14,176.3,2.4,1184.5,439.9,-0.4,1127.4,277.7,-1,1165,300.5,12127.67%,30.58%,91.67%,121.3,356.3,275.5,14750.49%,30.68%,114.80%,360.1,363.4,505,87.8,3822.7,18766.2,-0.9,3563.2,13424.3,-7.1,3554,12266.2,3810.91%,32.13%,75.78%,270.6,1142,9294.9,8339.19%,41.55%,103.25%,7318.7,1588.4,19376.5,2.8,116.2,7.3,1.8,86.5,4.4,2.7,119.1,5,7550.28%,222.33%,4062.32%,203.9,264.8,203.1,7524.71%,225.39%,2974.96%,211.6,261.9,216.4,35.2,19137.5,51.9,20.6,18587.7,24.3,28.8,18399.4,34.9,866.39%,24.93%,720.48%,249.5,4587.6,251.4,1283.73%,24.90%,1264.23%,452.3,4766,656.6,20.2,1075.1,23.7,14.5,1074.3,16.5,20.5,1075.6,24.3,886.06%,3.51%,748.93%,181.3,37.7,182,933.65%,3.72%,811.16%,189.1,40,192
C0 FF,,4102404,1547,16510,100.00%,0.04%,0.40%,100.00%,0.04%,0.40%,45582.09,17.19,183.44,1.4,1194.8,389.5,-0.2,1139.7,245,-0.7,1182.5,266.5,17346.42%,29.56%,92.07%,121.4,349.6,245.4,16869.02%,29.46%,125.11%,232.6,352,487.2,72.1,3820.8,17168.5,-1.4,3574.3,12390.7,-7.5,3651.3,11124.5,3607.66%,34.64%,71.34%,270.6,1265,7936,2466.27%,38.09%,109.38%,1778.5,1455.2,18778.9,2.6,135.6,10.6,1.7,100.3,4.7,2.6,138.3,7.1,7834.97%,191.89%,2917.17%,203.7,265.4,207.1,8144.04%,192.20%,2423.12%,215.1,260.6,257.2,35.6,19401.1,56.8,20.5,18841.7,23.7,28.3,18686.5,32.1,880.13%,25.12%,790.26%,249.1,4693.6,253.7,1307.48%,24.51%,1322.97%,465.2,4754.5,752,20.1,1067.1,24,14.4,1066.5,16.4,20.1,1068.2,22.8,897.98%,3.22%,805.57%,180.9,34.4,183.5,936.86%,3.48%,807.11%,188.7,37.1,193.9
X0,,4118828,154,15315,100.00%,0.00%,0.37%,100.00%,0.00%,0.37%,45764.54,1.71,170.17,1.5,1171.4,436.2,-0.3,1110.4,274.9,-0.6,1138.8,298.1,20188.07%,28.21%,92.11%,121.1,321.2,274.6,13427.35%,32.03%,110.72%,198.3,375.2,483,78,3739.3,19156.6,0.3,3415,13705.5,-4.1,3624.9,12554,6566.83%,36.60%,76.76%,269.2,1326.7,9637,2616.10%,38.48%,100.63%,2041.1,1439,19278.1,2.8,106,12.8,1.8,73.4,4.4,2.6,117.3,5.1,7840.67%,218.25%,3959.41%,203.9,255.9,201.9,8515.23%,273.66%,6564.04%,235.1,290.1,838.9,29.5,19175.7,39.4,20.7,18590.3,22.9,29.1,18303.6,30.4,856.44%,25.80%,819.33%,249.2,4722.7,249.1,974.10%,26.76%,2203.22%,287.7,5130.7,868.2,20.3,1073.4,22.8,14.6,1072.6,16.8,20.7,1075.2,21.6,875.16%,3.50%,836.83%,181,37.6,180.5,927.92%,3.81%,829.81%,187.9,40.9,188.8
X0 FF,,4195440,164,16733,100.00%,0.00%,0.40%,100.00%,0.00%,0.40%,46615.8,1.82,185.92,1.2,1138.4,378.5,-0.2,1079.9,239.6,-0.4,1119.5,263,30393.30%,33.50%,92.79%,121.6,375,244,26477.59%,30.62%,111.19%,315.3,348.6,420.8,68.9,3656.3,16968.3,-0.8,3448.5,12414.5,-6.3,3605.8,11134.3,4280.71%,34.05%,71.73%,269.7,1227.9,7986.9,2433.70%,34.30%,98.85%,1675.8,1254.3,16773.2,2.5,135.1,8,1.6,100.3,4.7,2.4,127.1,8.4,8487.88%,201.63%,2395.10%,203.7,256.3,201.2,8333.53%,190.67%,2582.95%,207.5,257.6,205.5,29.2,18489.4,31.6,20.4,17898.4,20.2,28.8,18104.3,29.8,864.85%,27.24%,832.84%,249.1,4931.5,248.2,950.50%,25.07%,1058.72%,277.8,4635,334.7,20,1057.1,20,14.5,1056.2,13.9,20.4,1056.3,21.3,886.27%,3.62%,838.88%,180.8,38.3,179,936.79%,4.00%,932.90%,187.7,42.3,186.5
Y0,,4038599,133,16149,100.00%,0.00%,0.40%,100.00%,0.00%,0.40%,44873.18,1.48,179.43,1.8,1199.8,405.2,-0.4,1137.3,255.9,-1,1127.8,280.3,12142.49%,26.13%,89.87%,121.4,294.7,251.9,14974.67%,35.82%,114.59%,268.4,429.7,464.3,84.8,4021,17259.4,-1,3704.4,12588.7,-7.1,3590.9,11289.9,3806.73%,29.88%,71.69%,270.3,1073.1,8093.2,7572.72%,51.16%,100.77%,6423.8,2057.2,17392.7,2.7,136.2,11.8,1.7,99.3,3.1,2.5,113.7,4.3,8154.30%,195.07%,4675.36%,203.9,221.8,201,9347.12%,206.93%,6748.43%,254.1,281.9,796.5,29.2,19294.8,42.4,20.4,18503.3,24.4,28.7,17911.4,35.7,867.86%,26.83%,693.13%,249.1,4805,247.4,994.97%,33.75%,2013.18%,290.9,6512.1,853.9,20.1,1067.6,24.4,14.4,1066.8,17.4,20.4,1064.7,25.3,885.15%,3.73%,708.90%,180.9,39.7,179,935.26%,3.85%,776.47%,187.7,41.1,189.8
Y0 FF,,4044185,152,14830,100.00%,0.00%,0.37%,100.00%,0.00%,0.37%,44935.2,1.69,164.78,1.2,1191,385.9,-0.2,1137.1,243.7,-0.6,1202.8,268.2,20188.07%,29.26%,92.34%,121.1,351.9,247.7,24442.29%,29.68%,111.23%,283.7,353.5,429.2,65.8,3797.4,17198,-0.4,3503.4,12481.2,-5.4,3561.1,11191.6,4999.66%,40.01%,71.43%,270,1424.8,7993.9,3124.41%,43.17%,100.86%,2055.7,1639.2,17346.7,2.7,131.8,10.1,1.7,88.8,7.5,2.6,111.8,11.3,7834.97%,235.16%,1827.22%,203.7,262.8,205.6,7900.18%,198.54%,2049.14%,209.6,261.7,207.9,29.3,19592.4,34,20.6,19000,20.9,28.8,19041.9,29.3,865.88%,27.13%,852.05%,249.4,5166.4,249.2,959.37%,25.17%,1020.04%,281.1,4931.2,346.5,20.1,1065.7,21.4,14.5,1065.2,14.7,20.4,1067.9,20.6,885.56%,3.32%,877.14%,180.9,35.5,180.5,934.93%,3.10%,880.31%,187.8,33,188.7
Z0,,4093974,118,15680,100.00%,0.00%,0.38%,100.00%,0.00%,0.38%,45488.6,1.31,174.22,1.6,1244.9,410.8,-0.4,1195.7,258.4,-1.1,1244.6,284.1,11025.15%,26.27%,89.86%,121.3,326.9,255.3,18646.09%,28.49%,120.24%,289.8,354.7,494,79.1,3956.8,17513.5,-0.7,3693.7,12701.5,-5.8,3842.1,11457.4,4644.63%,32.60%,71.61%,269.4,1252.4,8205.2,7591.75%,39.64%,105.97%,6003.5,1568.6,18558.4,2.6,147.1,5.6,1.8,97.6,4.9,2.4,118.9,4.4,8475.53%,189.28%,4674.45%,203.4,225.1,203.3,7901.26%,158.54%,3738.72%,207.3,233.2,209.3,29.2,19285.8,30.2,20.6,18791.9,21.3,28.9,18815.8,29.9,862.88%,22.30%,843.69%,249.4,4196.4,252.3,934.70%,23.79%,927.74%,273,4588.7,279.9,20.2,1067.5,20.6,14.5,1066.9,14.9,20.5,1073.5,20.9,881.98%,2.92%,880.38%,181.2,31.4,183.6,931.55%,3.47%,914.12%,187.8,37.1,188.4
Z0 FF,,4149079,140,14343,100.00%,0.00%,0.35%,100.00%,0.00%,0.35%,46100.84,1.56,159.37,1.3,1201.5,407.8,-0.1,1144.1,260.6,-0.3,1175.1,286.7,40277.30%,35.06%,91.32%,120.8,411.9,261.8,17976.81%,30.83%,108.46%,230.5,370.4,442.3,65.9,4051.2,18150.5,0.3,3746.9,13237.3,-4.4,3981.7,12131.4,6139.31%,33.52%,74.42%,270.1,1334.5,9028,2620.36%,40.97%,97.09%,1725.6,1659.8,17623.1,2.7,150.9,23.3,1.8,116.9,7.1,2.5,154.1,8.2,8142.44%,156.87%,2493.30%,203.6,241.8,204.5,8139.79%,179.26%,4959.23%,218.9,270.6,1156.5,29.1,19668.2,43.3,20.4,19023.1,19.5,28.8,18882.6,28.4,864.34%,26.19%,868.16%,248.9,4944.8,246.6,981.66%,26.12%,2735.04%,286.1,5137,1184.3,20,1066.9,19.7,14.4,1066.2,13.7,20.4,1068.8,20,884.16%,3.13%,894.19%,180.8,33.4,179.1,938.78%,3.42%,951.79%,187.8,36.5,187.2
A1,,4137287,3138,18328,100.00%,0.08%,0.44%,100.00%,0.08%,0.44%,45969.89,34.87,203.64,3.2,1345.5,395.9,-0.2,1276.5,249.1,-0.8,1299.9,277,15196.65%,32.05%,89.23%,121.6,416.7,247.2,10054.69%,32.54%,133.03%,321.2,437.8,526.6,86.7,3954.5,17155.2,-1.6,3622,12439.9,-8.1,3652,11255.2,3340.43%,38.60%,70.71%,270.6,1409.6,7959,2687.89%,45.07%,123.14%,2330.1,1782.5,21125.1,2.6,109.6,8.7,1.7,78.6,5.5,2.6,115.3,7.6,7829.27%,224.51%,2696.97%,203.6,258.9,205,7902.88%,236.67%,2375.76%,208.1,259.3,207.5,39,14812.4,71.9,20.3,14275.2,23.4,28,13958.1,29.6,890.09%,25.27%,854.00%,249.2,3527.8,252.8,1282.85%,29.05%,1275.61%,500.7,4302.4,917.2,20,1072.6,24.1,14.2,1071.3,16,19.9,1072.6,21.4,910.84%,4.44%,852.54%,181,47.6,182.7,947.60%,5.05%,813.10%,189.9,54.1,196.3
