Experiment Name:,Exp_20210104_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tube Name:,Sample ID:,All Events ,Picochlorum Events,P2 Events,All Events  % Total,Picochlorum % Total,P2 % Total,All Events  % Parent,Picochlorum % Parent,P2 % Parent,All Events  Events/μL(V),Picochlorum Events/μL(V),P2 Events/μL(V),All Events  Mean FSC-A,Picochlorum Mean FSC-A,P2 Mean FSC-A,All Events  Mean SSC-A,Picochlorum Mean SSC-A,P2 Mean SSC-A,All Events  Mean PE-A,Picochlorum Mean PE-A,P2 Mean PE-A,All Events  Mean PC5.5-A,Picochlorum Mean PC5.5-A,P2 Mean PC5.5-A,All Events  Mean PC5.5-Width,Picochlorum Mean PC5.5-Width,P2 Mean PC5.5-Width,All Events  GeoMean FSC-A,Picochlorum GeoMean FSC-A,P2 GeoMean FSC-A,All Events  GeoMean SSC-A,Picochlorum GeoMean SSC-A,P2 GeoMean SSC-A,All Events  GeoMean PE-A,Picochlorum GeoMean PE-A,P2 GeoMean PE-A,All Events  GeoMean PC5.5-A,Picochlorum GeoMean PC5.5-A,P2 GeoMean PC5.5-A,All Events  GeoMean PC5.5-Width,Picochlorum GeoMean PC5.5-Width,P2 GeoMean PC5.5-Width,All Events  Median FSC-A,Picochlorum Median FSC-A,P2 Median FSC-A,All Events  Median SSC-A,Picochlorum Median SSC-A,P2 Median SSC-A,All Events  Median PE-A,Picochlorum Median PE-A,P2 Median PE-A,All Events  Median PC5.5-A,Picochlorum Median PC5.5-A,P2 Median PC5.5-A,All Events  Median PC5.5-Width,Picochlorum Median PC5.5-Width,P2 Median PC5.5-Width,All Events  rCV FSC-A,Picochlorum rCV FSC-A,P2 rCV FSC-A,All Events  rCV SSC-A,Picochlorum rCV SSC-A,P2 rCV SSC-A,All Events  rCV PE-A,Picochlorum rCV PE-A,P2 rCV PE-A,All Events  rCV PC5.5-A,Picochlorum rCV PC5.5-A,P2 rCV PC5.5-A,All Events  rCV PC5.5-Width,Picochlorum rCV PC5.5-Width,P2 rCV PC5.5-Width,All Events  rSD FSC-A,Picochlorum rSD FSC-A,P2 rSD FSC-A,All Events  rSD SSC-A,Picochlorum rSD SSC-A,P2 rSD SSC-A,All Events  rSD PE-A,Picochlorum rSD PE-A,P2 rSD PE-A,All Events  rSD PC5.5-A,Picochlorum rSD PC5.5-A,P2 rSD PC5.5-A,All Events  rSD PC5.5-Width,Picochlorum rSD PC5.5-Width,P2 rSD PC5.5-Width,All Events  CV FSC-A,Picochlorum CV FSC-A,P2 CV FSC-A,All Events  CV SSC-A,Picochlorum CV SSC-A,P2 CV SSC-A,All Events  CV PE-A,Picochlorum CV PE-A,P2 CV PE-A,All Events  CV PC5.5-A,Picochlorum CV PC5.5-A,P2 CV PC5.5-A,All Events  CV PC5.5-Width,Picochlorum CV PC5.5-Width,P2 CV PC5.5-Width,All Events  SD FSC-A,Picochlorum SD FSC-A,P2 SD FSC-A,All Events  SD SSC-A,Picochlorum SD SSC-A,P2 SD SSC-A,All Events  SD PE-A,Picochlorum SD PE-A,P2 SD PE-A,All Events  SD PC5.5-A,Picochlorum SD PC5.5-A,P2 SD PC5.5-A,All Events  SD PC5.5-Width,Picochlorum SD PC5.5-Width,P2 SD PC5.5-Width
01aA,,4217608,35660,1144,100.00%,0.85%,0.03%,100.00%,0.85%,0.03%,46862.26,396.22,12.71,8.9,1189.5,2134.8,72.7,4376.6,75766.5,2.8,169.7,821.8,208.3,21128.9,10137.9,20.3,1091.3,357.2,-0.5,1061.8,911.9,-11.1,3668.8,37192.8,1.3,113.2,86.3,18.9,19200.1,863.5,10.9,1089.2,169,-2.3,1053,845.2,-24.5,3616.3,28575.2,1.9,150.3,89.8,19.3,18064.3,170.4,13.6,1085.7,120,5376.04%,33.95%,116.99%,1155.82%,38.66%,91.82%,10791.77%,175.19%,259.04%,1314.37%,25.63%,271.32%,1351.12%,3.68%,277.90%,123.6,357.5,988.8,283.2,1397.9,26237.4,205,263.3,232.6,253.7,4630,462.2,184.3,39.9,333.4,4971.31%,80.71%,135.82%,17369.56%,123.65%,138.50%,12450.84%,613.60%,1079.42%,1967.16%,95.11%,240.68%,1054.05%,6.94%,157.78%,440.2,960,2899.6,12623.8,5411.6,104933.7,347,1041.1,8870.3,4097.2,20094.9,24399.4,213.5,75.7,563.5
05aA,,4011182,41578,880,100.00%,1.04%,0.02%,100.00%,1.04%,0.02%,44568.79,461.98,9.78,8.7,1114.2,1970,54.1,4097,67602.8,2.5,176.9,124,226.9,19534.9,9074.1,21.5,1084.6,309.3,-0.6,1002.2,828.8,-10.3,3468,33952.2,1.4,124.1,67.5,19.8,17935.2,648.3,11.1,1082.6,143.8,-2.9,1004.5,778.4,-22.1,3484.1,27263.1,1.9,166.4,81,19.1,17012.1,145,13.5,1079.9,107,4258.64%,33.78%,112.71%,1260.55%,40.50%,90.18%,10799.57%,156.81%,294.14%,1329.68%,25.36%,265.58%,1369.36%,3.82%,272.05%,123.5,339.4,877.3,278.6,1411.1,24586.6,205.2,260.9,238.3,254,4314.1,385,184.5,41.3,291,3716.39%,78.48%,145.17%,12953.33%,121.95%,144.10%,8566.06%,185.01%,285.86%,1653.56%,92.31%,261.88%,1013.68%,6.74%,176.50%,322.2,874.4,2859.9,7002.8,4996.5,97414.7,212.5,327.3,354.4,3751.6,18032.4,23762.9,217.9,73.1,546
09aA,,4015302,45141,1020,100.00%,1.12%,0.03%,100.00%,1.12%,0.03%,44614.48,501.57,11.33,8.8,1081.2,1973.9,58.6,4017.9,66440.5,2.6,201.6,158.7,241.3,19218.1,9683.9,22.1,1080.9,341.5,-0.8,964.2,843.4,-10,3351.7,33512.8,1.4,142.7,78.5,20.2,17588.1,800.3,11.2,1078.7,165,-3.3,964.3,766.9,-22,3367.5,26603.4,1.7,189.1,83.7,18.9,16545.3,162,13.3,1075.4,116.2,3746.93%,34.19%,112.98%,1266.95%,41.19%,88.28%,12078.83%,140.26%,324.79%,1344.54%,24.51%,278.86%,1387.33%,3.96%,282.07%,123.6,329.7,866.5,278.7,1387,23484.8,205.3,265.2,271.7,254.1,4054.6,451.9,184.6,42.6,327.7,3459.70%,81.76%,141.95%,7991.95%,123.87%,141.91%,8197.36%,168.92%,299.03%,1494.21%,90.47%,291.76%,996.79%,7.09%,162.66%,305.8,884,2802,4685.6,4976.8,94285,213.3,340.6,474.6,3605.8,17387.3,28253.3,219.9,76.6,555.4
01bA,,4135180,36341,1365,100.00%,0.88%,0.03%,100.00%,0.88%,0.03%,45946.47,403.79,15.17,8.1,1201.1,1626.4,54.5,4404.8,55813.1,2.4,161.8,102,212,21173.5,7000,20.3,1094,268.1,-0.6,1073.3,692.5,-11.9,3708.2,29544.8,1.2,112.5,58.3,18.9,19299.9,493.9,10.9,1091.8,122.4,-2.5,1063.6,644.2,-26.1,3666.9,23108.3,1.7,150.4,75,19,18231.7,117.4,13.4,1088.6,83.9,4940.02%,33.64%,114.82%,1086.67%,38.40%,81.43%,12052.66%,177.14%,317.67%,1335.90%,25.73%,309.65%,1375.04%,3.70%,322.35%,123.5,357.8,739.7,283.6,1408.2,18818.2,204.9,266.4,238.3,253.8,4691.8,363.5,184.4,40.3,270.5,3644.68%,81.88%,144.91%,8577.78%,121.77%,143.66%,13761.58%,198.59%,293.02%,1857.43%,92.17%,275.63%,1055.22%,7.05%,188.50%,296.5,983.5,2356.7,4674.9,5363.7,80182.6,329.6,321.2,298.8,3938.5,19514.8,19294.2,214.4,77.2,505.4
05bA,,4199643,42541,963,100.00%,1.01%,0.02%,100.00%,1.01%,0.02%,46662.61,472.68,10.7,8.1,1104.1,1639.7,50.4,4055.9,54435.1,2.5,169.2,120.1,221.5,19394.6,8542,21.3,1091.1,310.1,-0.8,1001,712.6,-10.2,3478.1,28911.1,1.4,119.8,68.4,19.6,17984.4,631.6,11,1088.9,144.4,-3,1006.3,616.6,-21.7,3505.5,23126.2,2,161,78,19,17114.3,139.5,13.4,1086.4,107.7,4121.63%,33.74%,105.51%,1283.78%,40.03%,79.85%,10252.18%,163.55%,314.39%,1336.68%,24.68%,282.81%,1382.10%,3.85%,272.47%,123.6,339.5,650.6,278.6,1403.1,18465.8,205,263.3,245.2,254,4223.3,394.5,184.7,41.8,293.4,4012.37%,71.43%,153.32%,13397.88%,108.23%,149.21%,8468.61%,182.33%,289.94%,1747.33%,80.66%,267.02%,1022.68%,6.98%,174.96%,325.7,788.7,2514.1,6751.1,4389.6,81221,212.5,308.6,348.1,3870.9,15643.3,22808.6,217.7,76.2,542.5
09bA,,4091208,45733,1086,100.00%,1.12%,0.03%,100.00%,1.12%,0.03%,45457.87,508.14,12.07,8.7,1093.4,1859.9,54.9,4062.5,63712.1,2.7,203.7,141.1,238.2,19356.9,8471.6,21.7,1085.6,323.7,-0.9,974.6,826.4,-10.6,3385.8,32877.6,1.4,142.5,76.1,19.7,17675,704.7,10.8,1083.4,154.6,-3.3,975.3,720.3,-22.8,3401.8,26754.3,1.8,189.1,81.6,18.2,16607,144.4,12.8,1080.2,108.8,3737.95%,33.55%,112.06%,1221.84%,40.77%,86.26%,11407.78%,139.71%,315.25%,1397.07%,24.40%,277.43%,1437.65%,3.92%,271.62%,123.4,327.2,807.2,278.6,1386.8,23079.6,205.3,264.2,257.1,254.3,4051.9,400.7,184.7,42.3,295.6,3989.18%,82.43%,141.05%,11401.85%,124.28%,143.53%,8127.01%,171.91%,263.75%,1444.93%,93.24%,243.72%,1013.62%,7.12%,166.71%,348,901.3,2623.3,6257.3,5048.7,91447.6,217.3,350.2,372.2,3441.6,18048.9,20646.9,220,77.3,539.7
02aA,,4055055,36149,1465,100.00%,0.89%,0.04%,100.00%,0.89%,0.04%,45056.23,401.66,16.28,8.4,1196.2,1735.3,64.2,4395.7,62564.1,2.3,155.9,100.6,211.2,21092.4,7605.9,20.1,1100.7,289.3,-0.6,1078.3,716,-10.9,3739.2,31934.4,1.3,109.3,63.4,18.5,19386.5,539.8,10.6,1098.6,134.5,-2.5,1073.2,707.3,-22.8,3709.2,24936.5,1.7,146.5,72.9,18.6,18321.5,133.3,13.1,1095.1,99.2,4922.23%,32.89%,114.70%,1224.45%,38.46%,87.62%,12043.95%,179.23%,318.48%,1366.22%,25.52%,278.17%,1407.52%,3.67%,266.93%,123.1,353,811.3,279.2,1426.7,21848.9,204.7,262.6,232.2,254.1,4676.3,370.8,184.6,40.2,264.7,3898.99%,74.71%,147.28%,16564.28%,112.07%,142.77%,9097.75%,195.54%,300.71%,1513.42%,83.45%,280.73%,1070.64%,6.95%,179.53%,327.4,893.7,2555.7,10632.5,4926.2,89321.3,210.4,304.8,302.5,3196.2,17601.4,21351.9,215.2,76.5,519.5
06aA,,4005042,42401,852,100.00%,1.06%,0.02%,100.00%,1.06%,0.02%,44500.37,471.12,9.47,8.8,1084.9,1682.9,60,3962.7,57685.1,2.6,175.9,131.8,233.9,19125.5,7870.5,21.8,1087.6,290.2,-0.7,980.4,704.1,-10.3,3383.5,29476.3,1.3,123.9,74.5,19.9,17695.9,545.2,11.2,1085.5,132.3,-3.1,988.1,614.7,-22,3423.2,22332.9,1.7,166.7,85.8,19.1,16841.2,116.4,13.5,1083.2,84.1,3993.45%,33.88%,109.35%,1266.28%,40.46%,80.03%,12070.11%,156.71%,284.68%,1331.24%,24.75%,331.61%,1369.55%,3.88%,341.17%,123.8,334.8,672.1,278.6,1385.2,17872,205.2,261.2,244.3,254.3,4168.9,386,184.7,42,287.1,4555.90%,75.07%,151.60%,14228.59%,112.82%,147.23%,8466.41%,181.29%,257.47%,2212.42%,84.59%,271.66%,1006.00%,6.95%,179.19%,398.9,814.5,2551.2,8544.2,4470.7,84931.8,216.3,318.9,339.3,5175.1,16178.6,21380.7,218.8,75.6,519.9
10aA,,4060599,44640,962,100.00%,1.10%,0.02%,100.00%,1.10%,0.02%,45117.86,496,10.69,8.5,1066.6,1781.9,56.3,3930.2,59981.9,2.8,202,147.4,234.3,18959.7,8741.6,21.9,1077,303.6,-0.8,955.2,801.7,-10.1,3304.3,32285.9,1.5,142.7,72.2,20,17413,659.7,11.1,1074.9,141.1,-3.3,956.5,753.6,-21.7,3325.7,25185.7,1.9,188.3,70.9,18.8,16386.8,144.2,13.3,1071.8,110.5,3724.47%,33.90%,108.88%,1279.68%,40.95%,86.29%,10807.37%,139.76%,380.85%,1351.69%,24.47%,283.67%,1392.03%,3.95%,276.18%,122.9,324.2,820.5,277.7,1361.8,21731.8,205.3,263.2,269.8,254.1,4009.5,409,184.7,42.3,305.3,3890.24%,79.89%,142.16%,10010.97%,120.26%,138.28%,7751.09%,167.08%,283.52%,1640.53%,88.35%,253.42%,1003.06%,7.12%,173.78%,331,852.2,2533.1,5631.7,4726.5,82945.1,214.3,337.5,418,3843,16751.6,22153.3,219.2,76.7,527.7
02bA,,4021365,37478,1331,100.00%,0.93%,0.03%,100.00%,0.93%,0.03%,44681.87,416.42,14.79,9,1233.1,1832.5,64.4,4578.2,63898.8,2.2,148.5,83.2,223.9,21468.9,7934.4,20,1105,315.4,-0.7,1105.6,786.5,-11.6,3872.3,32900.5,1.2,103.2,54.8,18.4,19589.7,670.5,10.4,1102.9,146.7,-2.7,1100.8,690,-23.6,3833.3,26352.3,1.7,138.8,60.6,17.9,18535.3,139.8,12.6,1099.7,98.3,4563.11%,33.64%,112.46%,1184.20%,38.22%,89.07%,12035.22%,192.75%,411.75%,1418.00%,25.95%,279.02%,1463.36%,3.63%,285.97%,123.2,370.4,776,279.5,1465.3,23472.8,204.6,267.5,249.5,253.8,4810.4,390.1,184.5,39.9,281.2,3385.98%,77.13%,140.01%,9487.46%,118.26%,141.25%,9671.59%,208.92%,330.53%,1589.31%,90.39%,233.04%,1081.85%,6.90%,173.17%,304.8,951,2565.8,6108.6,5414,90255.5,210.9,310.2,274.9,3558.1,19405.7,18490,216.6,76.2,546.2
06bA,,4039955,41516,710,100.00%,1.03%,0.02%,100.00%,1.03%,0.02%,44888.38,461.29,7.89,7.9,1094.1,1777.5,51.7,3998.5,60399.9,2.5,174,306.7,222.3,19243.9,8298.1,21.4,1087.6,322.2,-0.8,987,750.4,-10.1,3396.2,30962.6,1.3,123.2,68.5,19.7,17765.1,688.4,11.1,1085.6,157.3,-3.1,992,691.1,-21.7,3431.6,24213.3,1.8,164.8,80.2,19.3,16868.9,160.4,13.6,1083,120.5,3983.89%,33.36%,115.28%,1280.37%,40.53%,84.74%,11383.07%,158.34%,337.56%,1316.67%,24.59%,255.49%,1358.44%,3.83%,251.44%,123.5,331,796.7,277.8,1390.7,20517.6,204.9,260.9,270.7,254.1,4148.6,409.9,184.5,41.5,302.9,4060.56%,78.78%,143.04%,16895.83%,119.52%,144.18%,9044.87%,184.02%,1671.05%,1660.25%,87.04%,243.49%,1016.68%,6.88%,165.14%,321.1,862,2542.4,8737,4779.2,87087,222.9,320.3,5125.8,3691.2,16750.4,20204.6,217.8,74.9,532.1
10bA,,4009329,43838,947,100.00%,1.09%,0.02%,100.00%,1.09%,0.02%,44548.18,487.09,10.52,8.9,1071.3,1820.4,53.8,3969.3,61794.2,2.7,207.3,164.5,234.3,19129.6,8671,21.9,1074.7,321.1,-0.7,952,780.6,-9.9,3293.7,31272.7,1.4,144.8,88,20,17410.4,624.1,11.2,1072.6,153,-3.1,954.3,682.8,-21.4,3318.7,24729.1,1.7,193.5,87.2,19,16384.8,166.7,13.4,1069.1,121,3955.19%,33.93%,106.01%,1298.31%,40.85%,82.40%,12087.55%,136.54%,315.56%,1337.46%,24.30%,225.19%,1376.43%,3.92%,230.64%,122.6,323.8,723.8,277.8,1355.7,20376,205.5,264.2,275.2,254.1,3981.8,375.4,184.5,41.9,279.2,4440.27%,87.47%,150.14%,9297.70%,135.80%,149.86%,7931.40%,175.99%,243.22%,1577.38%,101.13%,254.36%,999.35%,7.13%,164.29%,394.6,937.1,2733,5001.2,5390.3,92607.1,214.3,364.8,400.2,3695.6,19346.6,22055.1,218.8,76.6,527.5
03aA,,4001406,36255,864,100.00%,0.91%,0.02%,100.00%,0.91%,0.02%,44460.22,402.83,9.6,7.9,1164.6,1663.7,46.9,4248.8,59829.1,2.3,154.5,125.1,210.2,20494.4,7636.5,20.5,1098.4,308.5,-0.6,1056,681.4,-9.9,3637.9,30441.9,1.3,108.8,73.3,19,18985.3,623.7,10.9,1096.4,143.4,-2.5,1057.6,601.2,-21.2,3640.6,24164.3,1.9,147.5,87.9,18.9,18082.4,150.1,13.3,1093.9,103.1,4922.23%,33.31%,114.46%,1312.66%,38.88%,83.90%,10783.97%,180.02%,285.22%,1343.75%,25.38%,274.89%,1384.10%,3.67%,291.64%,123.1,352.3,688.1,278.3,1415.6,20274.5,204.9,265.5,250.7,254,4588.5,412.6,184.5,40.2,300.5,3981.96%,71.63%,146.29%,9797.66%,109.09%,150.39%,9048.41%,197.16%,262.17%,1721.62%,79.39%,221.00%,1047.77%,6.73%,174.02%,314.4,834.2,2433.9,4595.4,4635.2,89974.8,211.3,304.6,328.1,3618.8,16270.4,16876.4,215.3,73.9,536.8
07aA,,3979496,43992,838,100.00%,1.11%,0.02%,100.00%,1.11%,0.02%,44216.69,488.8,9.31,8.6,1082.6,1680.6,53.8,3997.3,57082.2,2.4,182.9,123.4,236.7,19236.3,7864,22,1082.9,312.3,-0.8,971.2,746.7,-10.6,3370.3,30102.4,1.3,128.6,68.1,20,17655.1,593.4,11.1,1080.8,148.3,-3.2,976.7,680.5,-22.9,3413.9,24032.3,1.6,171.4,72.8,18.9,16719.8,172.3,13.3,1078.3,121.2,3864.03%,33.60%,112.29%,1218.45%,40.67%,84.85%,12833.76%,154.75%,339.83%,1346.11%,24.69%,245.02%,1386.61%,3.93%,245.91%,123.6,328.2,764.1,279,1388.5,20392.6,205.3,265.2,247.2,254.4,4128.8,422.2,184.9,42.3,298.1,3626.42%,80.81%,144.14%,10790.86%,123.10%,145.25%,8724.58%,181.90%,283.05%,1504.59%,92.59%,256.28%,998.15%,6.95%,163.95%,313.2,874.9,2422.4,5803.7,4920.9,82909.9,213.3,332.7,349.2,3560.6,17810,20153.9,219.6,75.3,512
