Experiment Name:,Exp_20210104_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22aA,,4072171,48909,722,100.00%,1.20%,0.02%,100.00%,1.20%,0.02%,45246.47,543.43,8.02,12,1240.4,2139.3,58.4,4529.8,67718.4,3.2,281.7,239.7,278.5,21040.3,11833,23.3,1078.3,388.9,-0.2,1127.1,892.2,-11.9,3951.8,34966.5,1.4,204.4,109.7,21.4,19590,943.2,11.7,1076.2,193.9,-2.5,1136.2,831.1,-25.2,3911.6,26144.5,1.6,264.6,103.2,19.5,18887.6,205.5,13.8,1072.4,152.4,4928.16%,32.40%,117.90%,1109.01%,35.77%,91.75%,12852.29%,102.09%,276.98%,1304.69%,23.27%,234.98%,1338.61%,3.54%,233.17%,123.2,368.1,979.9,279.5,1399.3,23986.5,205.6,270.1,285.8,254.4,4394.3,482.9,184.8,37.9,355.4,2661.49%,70.43%,142.15%,8118.02%,103.51%,132.50%,6801.99%,132.58%,238.73%,1459.12%,78.94%,234.36%,950.77%,7.05%,145.17%,320.5,873.6,3041.1,4742.2,4688.6,89726.8,217.7,373.4,572.3,4063.9,16608.8,27731.6,221.4,76,564.5
14bA,,4040779,37193,560,100.00%,0.92%,0.01%,100.00%,0.92%,0.01%,44897.66,413.26,6.22,7.7,1111.8,1544.9,37.8,3847,52558.4,2.8,222.8,137,201.2,18984.1,7124.2,22,1070.5,288.8,-0.4,1003.6,670.8,-7.6,3300.3,28462,1.4,157.6,78.4,20.7,17485.5,618,12.1,1068.6,142.6,-2.1,1008,577.8,-16.6,3304.4,22109.9,2,208.6,86.6,21.4,16566.9,125.2,15.1,1066,95,5824.50%,32.68%,109.29%,1659.44%,36.65%,78.33%,10259.59%,127.72%,293.09%,1184.00%,23.76%,318.20%,1216.69%,3.81%,308.44%,122.3,329.4,631.4,275.5,1211,17317.9,205.2,266.4,253.7,253.4,3936.9,398.2,184.1,40.6,293,4063.13%,79.84%,151.83%,10655.21%,124.18%,145.28%,7650.63%,162.26%,258.47%,1807.94%,93.77%,251.92%,970.34%,6.62%,176.89%,311.3,887.6,2345.6,4025.7,4777.1,76359.2,214.3,361.5,354.1,3638.1,17800.8,17947.5,213.8,70.8,510.9
18bA,,4005826,45457,710,100.00%,1.13%,0.02%,100.00%,1.13%,0.02%,44509.36,505.08,7.89,11.6,1191.7,2066.3,49.5,4234.9,65480,2.8,251.5,200.3,250.4,20081,11312.1,22.7,1075.8,371.5,-0.3,1085.6,933.1,-10.9,3707.5,34910.7,1.4,182.9,96.9,20.9,18723.8,984.2,11.6,1073.8,187.1,-2.6,1091.5,873.1,-23,3670.9,28744.5,1.6,239,102.2,19.7,17910.4,197.8,13.9,1070.8,145.2,4750.02%,32.50%,113.24%,1217.02%,35.50%,90.89%,12917.15%,113.02%,292.39%,1291.44%,24.10%,257.24%,1330.88%,3.65%,255.31%,123.5,354.8,988.7,279.9,1303.2,26126.4,206.7,270.1,298.8,254.4,4316.9,508.8,184.7,39,370.6,4864.29%,69.48%,137.06%,9063.73%,103.75%,135.89%,7662.38%,138.60%,242.86%,1294.15%,76.63%,238.46%,966.20%,6.81%,149.96%,565.2,828,2832.1,4488.3,4393.9,88978.6,214.6,348.6,486.5,3240.7,15387.6,26974.5,219.7,73.2,557.1
22bA,,4109408,48745,668,100.00%,1.19%,0.02%,100.00%,1.19%,0.02%,45660.2,541.61,7.42,11.9,1226.7,1822.1,54.1,4433.7,59041.1,3.5,292.8,196.5,269.1,20724.3,9229,23.4,1075.1,330.9,-0.1,1121.6,800.7,-11.3,3912.6,31391.4,1.8,215.5,98.7,21.6,19460.7,654,11.9,1072.9,155.8,-2.5,1128.4,727.2,-24.1,3883.9,26420.9,2.2,276.6,99.3,20.3,18779,173.2,14.3,1069.3,121.6,4928.16%,32.69%,111.40%,1159.01%,35.46%,87.07%,9347.12%,98.46%,286.59%,1251.81%,23.37%,234.93%,1291.54%,3.54%,250.85%,123.2,368.9,810,279.3,1377,23004.7,205.6,272.4,284.6,254.1,4388.9,406.9,184.6,37.8,305,3169.22%,62.29%,143.33%,10460.49%,90.77%,145.01%,6127.63%,119.59%,231.37%,1342.88%,66.31%,253.97%,943.55%,7.16%,161.19%,376,764.1,2611.6,5663.9,4024.6,85618.3,216.1,350.2,454.7,3613.9,13741.8,23439,220.7,77,533.3
15aA,,4110334,44430,730,100.00%,1.08%,0.02%,100.00%,1.08%,0.02%,45670.39,493.67,8.11,9,1135.6,1799.9,45.3,3913.5,61018.9,2.9,232.3,158.2,231.3,19287.6,7923.7,22.2,1076.9,305,-0.5,1028.6,768.7,-9.9,3384.9,31089.7,1.3,166.3,86.7,20.4,17828.2,592.1,11.5,1074.9,139.1,-2.9,1032.1,670.8,-21.7,3371.6,24712.8,1.7,220.5,89.6,19.6,16884.7,138,13.8,1072.2,100.5,4238.19%,33.12%,114.27%,1283.78%,36.12%,90.19%,12096.27%,120.22%,290.65%,1296.52%,24.49%,296.09%,1334.63%,3.80%,305.53%,122.9,341.8,766.5,278.6,1217.9,22289.6,205.6,265.1,260.4,254.1,4135.3,408.8,184.5,40.7,307.1,3739.92%,74.67%,144.23%,15108.07%,114.06%,147.04%,11878.91%,148.77%,266.98%,1574.05%,84.40%,254.09%,984.03%,6.83%,172.61%,338.1,847.9,2595.9,6842.1,4463.8,89720.6,342.9,345.6,422.3,3641.4,16279.5,20133.4,218.4,73.5,526.5
19aA,,4016615,45959,663,100.00%,1.14%,0.02%,100.00%,1.14%,0.02%,44629.1,510.66,7.37,10.9,1207.2,1671.5,51,4308,56392.6,3.1,259.5,164.5,254.6,20208.4,8393.6,22.9,1076.5,296.1,-0.1,1104.1,717.1,-10.8,3790.1,29814.3,1.6,188.7,86.5,21.1,18906.1,526.1,11.7,1074.5,123.8,-2.4,1112.3,614.4,-23.4,3756.3,24278.6,1.8,247.6,92.8,19.8,18187.8,140.2,13.9,1071.2,98.5,5139.68%,32.19%,105.31%,1198.75%,35.61%,82.33%,11481.91%,107.78%,272.24%,1283.42%,23.92%,260.35%,1323.10%,3.59%,281.93%,123.4,358,647,280.5,1337.6,19989.4,206.7,266.9,252.6,254.1,4349.7,365,184.6,38.5,277.8,3068.78%,66.34%,155.14%,11374.96%,100.10%,150.23%,6895.78%,134.16%,252.63%,1386.30%,75.13%,269.07%,960.53%,6.91%,174.29%,334.8,800.9,2593.2,5800.8,4312.2,84715.8,216,348.2,415.6,3530.1,15183.1,22585.1,219.8,74.4,516.1
23aA,,4343052,54052,752,100.00%,1.24%,0.02%,100.00%,1.24%,0.02%,48256.27,600.58,8.36,11.9,1220.6,1921.4,54.9,4403.8,64328.3,3.1,284.9,207.9,279.2,20769,9393.2,23.3,1076.6,338.7,-0.1,1115.2,784.1,-12.3,3866.1,30957.5,1.4,209.1,103.7,21.3,19441.3,772.9,11.5,1074.5,172.3,-2.6,1124.4,702.7,-25.6,3859.1,23210.4,1.7,270,111.3,19.3,18775.1,175.6,13.6,1070.8,127.8,4732.92%,32.66%,113.74%,1092.26%,36.03%,86.02%,12096.27%,98.68%,243.77%,1318.98%,23.47%,261.95%,1362.23%,3.53%,261.27%,123.1,367.2,799.3,279.6,1390.5,19965.7,205.6,266.5,271.3,254.6,4405.9,460,184.9,37.8,334,2471.73%,64.53%,151.91%,9075.66%,95.80%,152.89%,6973.81%,124.96%,223.19%,1158.13%,71.30%,247.56%,954.51%,6.98%,159.33%,295.1,787.6,2918.7,4983.6,4219,98350.5,214.3,356,464.1,3233.6,14807.7,23253.5,222.4,75.2,539.7
15bA,,4018651,42888,642,100.00%,1.07%,0.02%,100.00%,1.07%,0.02%,44651.63,476.53,7.13,9.2,1138.3,1813.2,50.3,3949.3,60022.4,2.9,223.4,161.4,229.6,19252.3,9257.3,22.3,1077.3,347,-0.6,1031.7,830.1,-9.7,3417.2,32289.1,1.5,160.2,85.5,20.5,17789.5,827.6,11.6,1075.2,174.6,-2.9,1039.3,838.5,-21.1,3407.8,26610.3,2,210.4,92.8,19.9,16888.9,182.1,14.1,1072.5,126.7,4248.42%,32.72%,107.20%,1317.48%,36.20%,84.60%,10267.01%,126.20%,258.24%,1276.23%,24.53%,252.35%,1309.82%,3.80%,252.12%,123.2,340.1,898.8,278,1233.4,22511.1,205.3,265.5,239.5,254,4142,459.5,184.4,40.8,319.4,3754.94%,75.23%,144.21%,15102.03%,117.58%,142.05%,7395.64%,155.05%,248.43%,1546.79%,87.32%,242.15%,978.00%,6.91%,156.66%,346.7,856.3,2614.7,7589.3,4643.6,85260.4,214.3,346.4,401.1,3551.9,16811,22416.9,217.9,74.4,543.7
23bA,,4341172,53065,674,100.00%,1.22%,0.02%,100.00%,1.22%,0.02%,48235.3,589.61,7.49,12.3,1222.1,1713.1,58.8,4396.8,54710.3,3.5,281.3,182.5,281.3,20866.6,8810.9,23.5,1075,320.4,-0.1,1112.4,753.6,-12,3850.1,29004.1,1.7,204.2,86.9,21.5,19446.8,622.1,11.7,1072.9,143.2,-2.5,1122.9,671.3,-25.1,3848.9,22889.4,2,264.5,99.7,19.7,18806.8,142.4,13.9,1069.1,102.9,4928.16%,32.77%,108.76%,1114.61%,35.65%,85.94%,10281.83%,101.57%,284.84%,1291.44%,23.43%,257.88%,1329.70%,3.52%,259.46%,123.2,368,730.1,279.8,1372,19671.4,205.6,268.6,283.8,254.4,4406.6,367.1,184.8,37.7,267.1,3381.87%,71.29%,147.37%,15607.79%,107.85%,144.94%,6377.57%,135.30%,238.52%,1582.41%,83.25%,233.38%,944.78%,7.18%,160.80%,416.1,871.2,2524.6,9179.8,4742.1,79298,221.3,380.6,435.4,4451.4,17371.6,20562.8,221.8,77.1,515.3
16aA,,4026788,44832,809,100.00%,1.11%,0.02%,100.00%,1.11%,0.02%,44742.25,498.14,8.99,10.2,1153.2,1916,55.4,4013.6,65506.8,3.1,237.5,169.2,242.6,19483,9563.9,22.4,1078.2,356.8,-0.3,1048.5,837.2,-10.3,3501.7,33847,1.6,172,90.5,20.5,18108.2,790,11.4,1076.2,177.7,-2.5,1055.4,746.1,-22.1,3493.6,26798.6,2,226.4,109.5,19.4,17217.8,187.9,13.7,1073.2,140.8,4916.30%,32.97%,109.25%,1259.87%,36.77%,85.26%,10267.01%,117.38%,246.96%,1309.12%,24.64%,232.13%,1347.73%,3.77%,225.62%,122.9,348,815.1,278.4,1284.5,22849.1,205.3,265.8,270.4,254,4242.7,436.2,184.5,40.5,317.7,3974.93%,69.18%,143.08%,11110.38%,103.57%,142.75%,7003.02%,141.01%,247.23%,1598.88%,76.86%,243.78%,980.30%,6.82%,151.40%,404.8,797.8,2741.5,6158,4156.7,93512.1,215.7,334.9,418.2,3878.3,14974.5,23314.4,219.3,73.6,540.2
20aA,,4352257,51343,726,100.00%,1.18%,0.02%,100.00%,1.18%,0.02%,48358.61,570.48,8.07,11.2,1210.4,1822.9,51.4,4375.1,58216.3,3.3,269.8,191.4,264,20482.2,9632.7,23.2,1075.3,328.1,-0.1,1106.1,791.4,-11.2,3851.4,30262.9,1.6,196.7,100.1,21.3,19150.7,773.2,11.8,1073.3,162.6,-2.3,1113,669.5,-24,3803.1,23457,2,255.3,102.9,20.1,18416.3,156.6,14.1,1069.8,108.9,5337.36%,32.49%,106.96%,1163.84%,35.33%,81.26%,10289.24%,105.52%,255.48%,1267.22%,23.85%,276.26%,1307.95%,3.57%,284.84%,122.8,361.6,716.1,279.3,1343.7,19061,205.8,269.4,263,254.7,4392.2,432.6,184.9,38.2,310.2,2585.68%,66.65%,145.84%,10673.75%,98.31%,144.48%,6538.99%,132.47%,248.83%,1300.80%,77.05%,272.61%,951.32%,6.90%,164.45%,290,806.7,2658.4,5490.9,4301.4,84110.8,214.9,357.4,476.2,3434,15781.8,26260,220.8,74.2,539.5
24aA,,4072598,42136,740,100.00%,1.03%,0.02%,100.00%,1.03%,0.02%,45251.23,468.18,8.22,10.5,1208.1,1738.1,52.3,4335.5,57483.7,3.3,252.4,173.4,241,20685.7,7867.8,23,1069.7,283.1,-0.1,1104.2,752.7,-9.6,3812.1,29957.9,1.7,183.6,88.6,21.5,19363.2,526.7,12.3,1067.9,130.6,-2,1115,712.8,-20.8,3827.8,24740.7,2.2,237.2,85.9,21,18699.2,142.6,14.9,1064.7,100,6137.96%,32.42%,110.37%,1337.19%,35.70%,83.25%,9326.90%,110.51%,328.97%,1207.26%,23.25%,285.56%,1240.08%,3.50%,280.42%,122.8,361.5,786.7,278.1,1366.7,20596.8,205.2,262.1,282.6,253.5,4347.7,407.3,184.2,37.3,280.4,3754.82%,66.75%,147.41%,13698.03%,98.21%,149.44%,6587.03%,137.25%,305.47%,1616.17%,76.61%,261.70%,943.55%,6.65%,180.25%,393.1,806.4,2562.1,7164.2,4257.9,85904.5,216.5,346.4,529.6,3895,15846.6,20589.6,216.6,71.1,510.2
16bA,,3987983,43097,605,100.00%,1.08%,0.02%,100.00%,1.08%,0.02%,44311.1,478.86,6.72,9.5,1153.8,1763.1,47.5,3983.9,56697.8,2.9,232.4,160.4,235.2,19302.6,8712.5,22.3,1082.6,331.2,-0.5,1056.5,746.8,-10.4,3511.9,29814.3,1.4,168.7,84.1,20.5,18061.4,660.6,11.5,1080.7,148.6,-2.8,1069.5,736.2,-22.4,3515.8,24015.4,1.9,221.9,91.1,19.8,17246.9,143.7,13.9,1078.4,102,4394.85%,33.02%,113.44%,1242.34%,35.52%,85.95%,10807.37%,119.33%,290.50%,1282.67%,24.41%,298.69%,1322.32%,3.75%,308.86%,123.1,353.2,835.1,278.3,1248.8,20640.2,205.3,264.8,264.6,254,4209.8,429.2,184.4,40.4,315.1,3594.48%,68.55%,152.24%,14548.08%,107.89%,144.34%,7462.65%,148.15%,283.09%,1763.50%,82.20%,294.51%,980.81%,6.50%,166.07%,341.3,790.9,2684.2,6904.7,4298,81838.6,216.8,344.3,454.2,4148.6,15866.5,25659.4,218.6,70.4,550.1
20bA,,4349945,48490,667,100.00%,1.11%,0.02%,100.00%,1.11%,0.02%,48332.82,538.78,7.41,10.7,1215.3,1679.1,51,4369,55981.5,3.3,269.3,165.2,249.4,20310.1,7171.8,23.1,1073.2,289.2,-0.1,1113.2,762.5,-10.6,3860.9,30714.1,1.7,196.8,93.3,21.4,19041.9,527.8,12,1071.2,125.3,-2.2,1121.1,703.7,-22.7,3822.6,25137.9,2.1,253.7,108.6,20.5,18327.4,131.2,14.5,1068,93.8,5573.23%,32.25%,108.92%,1226.57%,34.94%,86.88%,9785.16%,105.02%,267.99%,1238.88%,23.61%,295.16%,1271.72%,3.56%,299.63%,122.6,361.6,766.5,278.4,1335.5,21840.2,205.5,266.4,291,254,4326.7,387.3,184.5,38,281.2,2731.44%,65.57%,140.72%,11377.73%,96.88%,139.00%,6582.24%,130.49%,224.87%,1335.50%,73.92%,236.34%,945.89%,6.92%,178.69%,292.8,796.9,2362.9,5806.5,4232.7,77812.5,214.5,351.4,371.4,3330.5,15012.5,16949.7,218.8,74.2,516.7
24bA,,4154051,41748,608,100.00%,1.00%,0.01%,100.00%,1.00%,0.01%,46156.18,463.87,6.76,10.7,1203.3,1761.6,44.5,4340,57099.8,3.1,252.4,186.8,231.9,20605.8,9544.9,22.7,1069.7,338.5,-0.1,1096.3,727.3,-9,3788.5,29077.9,1.6,182.1,97.4,21.2,19248,731.4,12.2,1067.8,161.9,-2.1,1108,657.8,-19.5,3807.1,23098.5,1.9,237.1,111.9,21.4,18618.1,190,15.1,1064.7,137,5852.74%,32.68%,111.16%,1420.25%,36.06%,85.44%,10799.57%,111.30%,245.97%,1184.69%,23.35%,223.13%,1217.03%,3.51%,225.19%,122.9,362.1,731.3,276.9,1372.8,19734.9,205.2,263.9,275.2,253.5,4346.5,423.9,184.1,37.4,308.4,5288.67%,70.11%,157.28%,10892.51%,106.85%,153.50%,6972.42%,141.80%,251.61%,1475.85%,79.80%,265.84%,950.77%,6.68%,156.04%,565.6,843.7,2770.7,4851.1,4637.1,87648.1,214.3,357.9,470,3422.5,16442.9,25374.4,215.8,71.5,528.1
00aA,,4366673,35390,571,100.00%,0.81%,0.01%,100.00%,0.81%,0.01%,48518.76,393.22,6.34,7.6,1173.3,1502.6,36.9,4150.3,49319.5,2.9,260.4,156.6,187.2,20034.1,7810.2,22.3,1075.6,288.2,-0.2,1069.3,639.7,-6.7,3625.2,26269.6,1.6,189,72,21.1,18760.6,585.4,12.7,1073.8,145.4,-1.8,1078.3,554.1,-14.9,3634.8,20520,1.9,247.1,81,22.9,17890.6,149.1,16.2,1071.6,109.9,6778.78%,34.21%,102.13%,1841.81%,38.01%,74.79%,10791.77%,107.84%,323.43%,1102.56%,25.22%,265.00%,1132.50%,3.62%,270.95%,122,368.9,565.9,274.4,1381.7,15345.9,205,266.4,262,252.5,4512.9,395.1,183.4,38.8,297.8,3998.24%,67.77%,164.67%,11967.46%,99.35%,160.91%,7321.42%,136.94%,280.35%,1535.32%,74.07%,287.13%,944.32%,6.33%,174.22%,302.6,795.1,2474.4,4410.7,4123.5,79360,212.9,356.7,439.1,2873.4,14839.8,22425.4,210.8,68.1,502.1
00bA,,4362491,35107,524,100.00%,0.80%,0.01%,100.00%,0.80%,0.01%,48472.2,390.08,5.82,7.7,1161.1,1647.3,42.9,4124.1,54509.6,3.1,263.9,150.5,188.3,19849.9,8101.9,22.1,1068.1,330.1,-0.1,1058,700.3,-6.6,3588.5,27711.2,1.6,191.2,75.8,21,18544.9,648.7,12.6,1066.5,157.9,-1.6,1069.1,670.3,-14.9,3606.2,22414.9,2.2,250.7,85.6,22.6,17677.1,186.6,16,1064.8,140.7,7598.32%,33.68%,110.39%,1839.82%,38.44%,79.05%,9299.95%,105.86%,302.24%,1117.20%,25.22%,223.78%,1145.98%,3.61%,227.05%,121.6,360.1,739.9,274.1,1386.2,17719.7,204.6,265.4,258.6,252.5,4458,417.6,183.4,38.4,319.5,3530.55%,71.14%,154.46%,13888.60%,107.67%,158.22%,6924.88%,139.04%,269.64%,1942.94%,81.93%,251.00%,952.55%,6.07%,158.70%,271.7,826,2544.5,5962.7,4440.6,86243.4,216.5,366.9,405.7,3658.7,16263.3,20335.5,210.4,64.8,523.9
01aM,,4272337,35162,703,100.00%,0.82%,0.02%,100.00%,0.82%,0.02%,47470.47,390.69,7.81,7.4,1144.1,1453.7,35.2,4063.7,45760.1,3,302.7,140.4,189.4,19919.1,6178.8,22.3,1069.8,215.1,-0.2,1046.3,673.9,-6.9,3546,25435.7,1.5,223.3,64.3,21,18747.9,336.4,12.6,1068.2,99.8,-1.8,1057.6,647.1,-15.9,3564.9,19294,1.8,287.7,58.3,22.6,17885.2,105.6,16,1066,75.5,6754.07%,33.56%,109.72%,1729.70%,38.83%,66.87%,11399.55%,94.18%,420.88%,1119.17%,25.02%,319.12%,1148.36%,3.56%,327.36%,121.6,354.9,710,275,1384.2,12902.3,205.2,270.9,245.4,252.9,4474.5,337,183.7,37.9,247,3504.63%,64.94%,160.25%,8821.63%,98.58%,154.45%,7101.82%,120.89%,317.86%,1600.54%,69.95%,357.06%,945.52%,6.12%,211.31%,259.7,743,2329.6,3104.1,4005.8,70677.9,214.9,365.9,446.1,3031.4,13933.9,22062.5,210.9,65.5,454.5
01bM,,4364305,36470,678,100.00%,0.84%,0.02%,100.00%,0.84%,0.02%,48492.41,405.22,7.53,7.7,1150.5,1364.7,35.4,4099.1,43137.9,3.2,310.5,132,193.5,20067.7,5065.4,22.5,1068.7,226.9,-0.2,1044.7,659.9,-7.1,3542.5,24471.4,1.6,229.1,66.8,21.3,18737.8,348.4,12.7,1067,108.6,-1.8,1056.2,643.2,-16.2,3557.1,19803.9,2,292.4,77.8,22.9,17780.4,110.8,16.2,1064.5,74.4,6770.54%,33.99%,105.19%,1698.58%,39.16%,69.51%,10259.59%,92.18%,346.19%,1103.21%,24.84%,326.24%,1133.11%,3.58%,344.47%,121.9,359,676.6,275.2,1393.1,13765.3,205.2,269.5,269.2,252.6,4416.3,361.3,183.5,38.1,256.4,4759.94%,70.10%,153.52%,9112.46%,109.04%,159.59%,6973.47%,126.97%,304.47%,1871.68%,80.03%,310.51%,940.30%,6.40%,200.58%,366.1,806.5,2095,3230,4469.8,68841.7,220.7,394.2,402,3622.2,16060.7,15728.6,211.2,68.4,455.1
19bA,,4350742,51409,695,100.00%,1.18%,0.02%,100.00%,1.18%,0.02%,48341.61,571.21,7.72,11.1,1184.2,1880.5,56.2,4255.5,61946.7,3.4,260.6,199.2,264.6,20105.7,9836.4,23.2,1071,344.4,-0.2,1084.2,780.2,-11,3750.5,31932.4,1.7,189.8,102.3,21.3,18816.2,822.6,11.8,1069,169.4,-2.8,1094.3,671.9,-23.7,3714.5,24058.4,2.1,247,110.3,19.9,18091.8,173.9,14,1065.9,119.1,4394.85%,32.56%,113.48%,1181.08%,35.58%,84.27%,9799.28%,107.68%,261.84%,1279.95%,23.93%,259.69%,1319.41%,3.64%,270.98%,123.1,356.3,762.5,279.9,1321.7,20274.4,205.8,266,288.8,254.7,4330.1,451.6,185,38.8,322.6,2885.76%,66.45%,146.33%,10915.50%,100.71%,139.30%,6582.76%,135.32%,246.62%,1606.40%,77.06%,261.15%,951.51%,6.99%,156.80%,318.9,786.9,2751.6,6131.7,4285.6,86288.9,222.9,352.7,491.2,4249.8,15492.7,25688.2,220.7,74.8,540