flask,attempt,light regime,light hour,light min,dark hour,dark min,light duration hour,light duration min,culture date,culture year,culture month,culture day,culture hour,culture min,sample date,sample year,sample month,sample day,sample hour,sample min,1 tube change year,1 tube change month,1 tube change day,1 tube change hour,1 tube change min ,2 tube change year,2 tube change month,2 tube change day,2 tube change hour,2 tube change min ,3 tube change year,3 tube change month,3 tube change day,3 tube change hour,3 tube change min ,4 tube change year,4 tube change month,4 tube change day,4 tube change hour,4 tube change min 
A,1,1608,7,55,24,8,16,13,2021-01-15,2021,1,15,18,55,2021-01-19,2021,1,19,7,55,,,,,,,,,,,,,,,,,,,,
A,2,1608,7,55,24,8,16,13,2021-01-15,2021,1,15,18,55,2021-01-19,2021,1,19,15,15,2021,1,19,23,15,2021,,,,,,,,,,,,,,
A,3,1608,7,55,24,8,16,13,2021-01-15,2021,1,15,18,55,2021-01-20,2021,1,20,9,25,2021,1,20,16,23,2021,1,20,22,27,,,,,,,,,,
B,1,1608,7,55,24,8,16,13,2021-01-15,2021,1,15,18,55,2021-01-21,2021,1,21,8,20,2021,1,21,13,30,2021,1,21,22,23,2021,1,22,8,30,,,,,
E,1,1608,8,50,24,48,15,58,2021-02-05,2021,2,5,16,15,2021-02-09,2021,2,9,9,29,2021,2,9,12,28,2021,2,9,13,32,2021,2,9,20,30,2021,2,10,8,0
F,1,1608,8,50,24,48,15,58,2021-02-05,2021,2,5,16,15,2021-02-10,2021,2,10,8,30,2021,2,10,14,45,2021,2,11,0,48,2021,2,11,10,40,,,,,
G,1,1212,8,50,20,50,12,0,2021-02-11,2021,2,11,12,15,2021-02-15,2021,2,15,9,0,2021,2,15,14,5,2021,2,15,22,30,2021,2,16,8,40,,,,,
H,1,1212,8,50,20,50,12,0,2021-02-11,2021,2,11,12,15,2021-02-16,2021,2,16,8,50,2021,2,16,16,40,2021,2,16,22,40,2021,2,17,8,52,,,,,
I,1,0816,8,50,4,41,7,51,2021-02-18,2021,2,18,13,0,2021-02-23,2021,2,23,9,5,2021,2,23,17,0,2021,2,23,17,2,2021,2,24,9,0,,,,,
J,1,0816,8,50,4,41,7,51,2021-02-18,2021,2,18,13,0,2021-02-24,2021,2,24,9,7,2021,2,24,14,24,2021,2,24,23,4,2021,2,25,9,3,,,,,
K,1,0816,8,50,4,41,7,51,2021-02-25,2021,2,25,11,8,,,,,,,,,,,,,,,,,,,,,,,,,,
L,1,1212,8,50,,,,,2021-02-25,2021,2,25,11,8,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,